Player Name,Position,FPoints
Lamar Jackson,QB,225.66
Baker Mayfield,QB,202.46
Jayden Daniels,QB,181.14
Josh Allen,QB,181.14
Joe Burrow,QB,177.46
Jalen Hurts,QB,177.16
Geno Smith,QB,151.70
Bo Nix,QB,150.82
Kyler Murray,QB,150.68
Brock Purdy,QB,145.04
Trevor Lawrence,QB,144.96
Kirk Cousins,QB,142.82
Aaron Rodgers,QB,136.58
Sam Darnold,QB,136.00
Jared Goff,QB,130.90
C.J. Stroud,QB,129.86
Patrick Mahomes,QB,125.68
Daniel Jones,QB,123.10
Jordan Love,QB,119.60
Dak Prescott,QB,116.52
Caleb Willliam,QB,114.70
Justin Herbert,QB,113.50
Justin Fields,QB,113.34
Matthew Stafford,QB,98.06
Derek Carr,QB,85.20
Derrick Henry,RB,201.50
Alvin Kamara,RB,190.70
Saquon Barkley,RB,177.10
Bijan Robinson,RB,161.50
Jahmyr Gibbs,RB,150.10
Kyren Williams,RB,149.80
Breece hall,RB,139.90
De'Von Achane,RB,139.20
Chubba Hubbard,RB,137.30
James Cook,RB,133.60
Kenneth Walker III,RB,133.50
Josh Jacobs,RB,130.00
J.K Dobbins,RB,129.70
Joe Mixion,RB,128.40
James Conner,RB,128.10
David Montgomery,RB,126.02
D'Andre Swift,RB,123.90
Aaron Jones,RB,123.00
Tony Pollard,RB,117.70
Chase Brown,RB,116.70
Rhamondre Stevenson,RB,116.70
Rachaad White,RB,105.70
Najee Harris,RB,103.10
Jordan mason,RB,103.10
Jonathan Taylor,RB,100.20
Ja'Marr Chase,WR,169.80
Justin Jefferson,WR,157.48
Garret Wilson,WR,156.80
CeeDee Lamb,WR,148.20
Drake London,WR,141.20
Chris Godwin,WR,137.80
Terry McLaurin,WR,136.00
Amon-Ra St.Brown,WR,134.68
Zay Flowers,WR,134.10
Jayden Reed,WR,133.00
Brian Thomas Jr.,WR,130.00
Darnell Mooney,WR,129.80
Malik Nabers,WR,128.70
Jaxon Smith-Njigba,WR,126.20
Stefon Diggs,WR,121.92
Nico Collions,WR,106.70
DeVonta Smith,WR,106.30
DK Metcalf,WR,105.80
Ladd McConkey,WR,103.00
Khalil Shakir,WR,101.50
Allen Lazard,WR,101.20
Courtland Sutton,WR,101.10
Marvin Harrison Jr.,WR,100.50
Wan'Dale Robinson,WR,99.10
Josh Downs,WR,98.30
Brock Bowers,TE,128.20
George Kittle,TE,126.30
Cade Otton,TE,107.70
Trey McBride,TE,105.30
Travis Kelce,TE,99.60
Tucker Kraft,TE,96.00
Kyle Pitts,TE,91.00
Hunter Henry,TE,86.40
Cole Kmet,TE,77.30
Dalton Kincaid,TE,77.20
Mark Andrews,TE,76.90
Zach Ertz,TE,76.00
Mike Gesicki,TE,75.30
Jake Ferguson,TE,71.40
Isaiah Likely,TE,69.10
David Njoku,TE,67.50
Jonnu Smith,TE,66.10
Sam LaPorta,TE,64.00
Tyler Conklin,TE,62.70
Pat Freiermuth,TE,62.40
Ka'imi Fairbairn,K,101.00
Austin Seibert,K,99.00
Chris Boswell,K,97.00
Brandon Aubrey,K,91.00
Justin Tucker,K,83.00
Chase McLaughlin,K,81.00
Younghoe Koo,K,79.00
Tyler Bass,K,76.00
Will Lutz,K,75.00
Blake Grupe,K,73.00
Will Reichard,K,73.00
Cameron Dicker,K,71.00
Daniel Carlson,K,70.00
Evan McPherson,K,70.00
Harrion Butker,K,69.00
Jake Bates,K,68.00
Jason Myers,K,64.00
Matt Gay,K,63.00
Cam Little,K,61.00
Dustin Hopkins,K,60.00
Jason Sanders,K,60.00
Cairo Santos,K,60.00
Jake Moody,K,55.00
Joey Slye,K,55.00
Nick Folk,K,54.00
Minnesota Vikings,DEF,93.00
Denver Broncos,DEF,85.00
Green Bay Packers,DEF,78.00
Pittsburgh Stellers,DEF,77.00
Los Angeles Chargers,DEF,76.00
Detroit Lions,DEF,76.00
Chicago Bears,DEF,74.00
Buffalo Bills,DEF,69.00
San Fransisco 49ers,DEF,66
Los Angeles Rams,DEF,62
Houston Texans,DEF,61
Seattle Seahawks,DEF,60
Indianapolis Colts,DEF,58
New York Giants,DEF,58
New Orleans Saints,DEF,58
New York Jets,DEF,57
Cleveland Browns,DEF,55
Arizona Cardinals,DEF,55
Kansas City Cheifs,DEF,51
Washington Commanders,DEF,51
Philadelphia Eagles,DEF,50
Tampa Bay Buccaneers,DEF,48
Baltimore Ravens,DEF,48
Cincinagtti Bengals,DEF,41
Atlanta Falcons,DEF,41